Месец,Број/Површина ( во m2 ),"Видови објекти од високоградба, број/површина ( во m2 )",value
2011М09,Површина ( во m2 ),111 Станови во објекти (згради) со еден стан,7631
2011М09,Површина ( во m2 ),112 Станови во објекти (згради) со два и повеќе стана,45590
2011М09,Површина ( во m2 ),12 Нестанбени згради,39387
2011М09,Површина ( во m2 ),121 Хотели и слични згради,300
2011М09,Површина ( во m2 ),123 Згради во трговијата на големо и на мало,25039
2011М09,Површина ( во m2 ),125 Индустриски згради и складишта,13520
2011М09,Површина ( во m2 ),127 Други нестанбени згради,528
2011М10,Површина ( во m2 ),11 Станови во станбени објекти (згради),46067
2011М10,Површина ( во m2 ),111 Станови во објекти (згради) со еден стан,10341
2011М10,Површина ( во m2 ),112 Станови во објекти (згради) со два и повеќе стана,35726
2011М10,Површина ( во m2 ),12 Нестанбени згради,40505
2011М10,Површина ( во m2 ),121 Хотели и слични згради,9934
2011М10,Површина ( во m2 ),122 Деловни згради,1136
2011М10,Површина ( во m2 ),123 Згради во трговијата на големо и на мало,12448
2011М10,Површина ( во m2 ),124 Згради за сообраќај и други комуникации,60
2011М10,Површина ( во m2 ),125 Индустриски згради и складишта,15416
2011М10,Површина ( во m2 ),"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",1448
2011М10,Површина ( во m2 ),127 Други нестанбени згради,63
2011М11,Површина ( во m2 ),11 Станови во станбени објекти (згради),43764
2011М11,Површина ( во m2 ),111 Станови во објекти (згради) со еден стан,8713
2011М11,Површина ( во m2 ),112 Станови во објекти (згради) со два и повеќе стана,35051
2011М11,Површина ( во m2 ),12 Нестанбени згради,62469
2011М11,Површина ( во m2 ),122 Деловни згради,8948
2011М11,Површина ( во m2 ),123 Згради во трговијата на големо и на мало,7543
2011М11,Површина ( во m2 ),124 Згради за сообраќај и други комуникации,85
2011М11,Површина ( во m2 ),125 Индустриски згради и складишта,43321
2011М11,Површина ( во m2 ),127 Други нестанбени згради,2572
2011М12,Површина ( во m2 ),11 Станови во станбени објекти (згради),54637
2011М12,Површина ( во m2 ),111 Станови во објекти (згради) со еден стан,10000
2011М12,Површина ( во m2 ),112 Станови во објекти (згради) со два и повеќе стана,44637
2011М12,Површина ( во m2 ),12 Нестанбени згради,23284
2011М12,Површина ( во m2 ),121 Хотели и слични згради,508
2011М12,Површина ( во m2 ),123 Згради во трговијата на големо и на мало,6350
2011М12,Површина ( во m2 ),124 Згради за сообраќај и други комуникации,138
2011М12,Површина ( во m2 ),125 Индустриски згради и складишта,6810
2011М12,Површина ( во m2 ),"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",6143
2011М12,Површина ( во m2 ),127 Други нестанбени згради,3335
2012М01,Површина ( во m2 ),11 Станови во станбени објекти (згради),40261
2012М01,Површина ( во m2 ),111 Станови во објекти (згради) со еден стан,5871
2012М01,Површина ( во m2 ),112 Станови во објекти (згради) со два и повеќе стана,31651
2012М01,Површина ( во m2 ),113 Станови на заедници,2739
2012М01,Површина ( во m2 ),12 Нестанбени згради,50183
2012М01,Површина ( во m2 ),123 Згради во трговијата на големо и на мало,14122
2012М01,Површина ( во m2 ),124 Згради за сообраќај и други комуникации,71
2012М01,Површина ( во m2 ),125 Индустриски згради и складишта,14110
2012М01,Површина ( во m2 ),"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",20774
2012М01,Површина ( во m2 ),127 Други нестанбени згради,1106
2012М02,Површина ( во m2 ),11 Станови во станбени објекти (згради),38194
2012М02,Површина ( во m2 ),111 Станови во објекти (згради) со еден стан,7674
2012М02,Површина ( во m2 ),112 Станови во објекти (згради) со два и повеќе стана,30520
2012М02,Површина ( во m2 ),12 Нестанбени згради,13717
2012М02,Површина ( во m2 ),121 Хотели и слични згради,888
2012М02,Површина ( во m2 ),122 Деловни згради,259
2012М02,Површина ( во m2 ),123 Згради во трговијата на големо и на мало,6135
2012М02,Површина ( во m2 ),125 Индустриски згради и складишта,5337
2012М02,Површина ( во m2 ),"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",340
2012М02,Површина ( во m2 ),127 Други нестанбени згради,758
2012М03,Површина ( во m2 ),11 Станови во станбени објекти (згради),41010
2012М03,Површина ( во m2 ),111 Станови во објекти (згради) со еден стан,8382
